users,request_limit,requests,failures,failure_rate,avg_response_time_ms,min_response_time_ms,max_response_time_ms,requests_per_second,duration_seconds,stopped_reason
1,50,50,1,0.02,1044.06,564.0954000009515,21020.774900000106,0.4,125.14,request_limit_reached
10,70,70,3,0.0429,2113.96,576.5998999995645,21216.142000001128,2.57,27.79,request_limit_reached
25,175,175,14,0.08,5787.19,905.4015000001527,21014.8537999994,3.22,55.05,request_limit_reached
50,350,351,29,0.0826,13058.5,825.1176000012492,21015.411000000313,3.22,109.09,request_limit_reached
75,525,527,26,0.0493,21657.87,826.3699000017368,35395.25130000038,3.1,170.13,request_limit_reached
100,700,703,17,0.0242,30690.36,20360.565700000734,39262.36129999961,3.0,234.18,request_limit_reached
125,875,876,26,0.0297,38837.02,21005.016800001613,50277.25940000164,3.01,291.23,request_limit_reached
150,1050,1051,94,0.0894,45535.48,21003.4158999988,60200.07960000294,3.13,336.41,request_limit_reached
175,1225,1225,396,0.3233,48273.19,21002.82800000059,60144.51479999843,3.48,352.28,request_limit_reached
200,1400,17,10,0.5882,48070.37,30499.59900000249,60023.52790000077,3.6,5.0,failure_threshold_reached
