users,request_limit,requests,failures,failure_rate,avg_response_time_ms,min_response_time_ms,max_response_time_ms,requests_per_second,duration_seconds,stopped_reason
1,100,100,0,0.0,539.34,502.7789999999186,618.8197999999829,0.49,205.17,request_limit_reached
2,100,100,0,0.0,614.73,513.4158999999272,1068.2209000005969,0.97,103.08,request_limit_reached
1,50,50,0,0.0,537.8,508.7338000003001,612.7989000005982,0.5,100.09,request_limit_reached
10,70,71,0,0.0,2873.92,572.4623999994947,3496.052399999826,2.15,33.03,request_limit_reached
25,175,175,0,0.0,9365.55,2688.2556999998997,10835.006700000122,2.17,81.08,request_limit_reached
50,350,352,0,0.0,20116.47,9423.458600000231,22282.15039999941,2.19,161.13,request_limit_reached
75,525,526,0,0.0,30960.44,20851.50160000012,33091.58709999974,2.22,237.21,request_limit_reached
100,700,700,1,0.0014,42483.48,25840.677300000607,60001.06759999926,2.2,318.29,request_limit_reached
125,875,875,0,0.0,53383.76,43107.43129999992,56439.22440000006,2.22,394.32,request_limit_reached
150,1050,278,139,0.5,57594.62,54029.375099999925,60032.38559999954,2.34,119.09,failure_threshold_reached
